model,song,condition,effect,level,stem,sdr,si_sdr,delta_sdr,delta_si_sdr
demucs,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,bass,-1.2296279956697878,-2.895217571690847,0.04849298535297142,0.1312739949569557
demucs,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,other,0.15018707252926913,-11.365225475100392,-0.33277185664926734,-2.087607183509448
demucs,AM_Contra_-_Heart_Peripheral,original,original,0,vocals,11.434525675144606,11.1125429502845,0.0,0.0
demucs,AM_Contra_-_Heart_Peripheral,original,original,0,drums,8.331753233458915,7.648296291373857,0.0,0.0
demucs,AM_Contra_-_Heart_Peripheral,original,original,0,bass,-1.2781209810227592,-3.0264915666478025,0.0,0.0
demucs,AM_Contra_-_Heart_Peripheral,original,original,0,other,0.48295892917853644,-9.277618291590944,0.0,0.0
demucs,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,vocals,11.09211695012932,10.740561630491285,-0.34240872501528585,-0.371981319793214
demucs,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,drums,8.394359390043638,7.722063987281461,0.06260615658472268,0.07376769590760457
demucs,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,bass,-1.2656186204139275,-2.987196455199565,0.012502360608831697,0.039295111448237385
demucs,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,other,0.4846125992872915,-9.260877097660856,0.0016536701087550565,0.01674119393008766
demucs,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,vocals,9.431312168336547,8.966381004088968,-2.003213506808059,-2.146161946195532
demucs,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,drums,8.269185628965435,7.577988650496219,-0.06256760449348064,-0.07030764087763774
demucs,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,bass,-1.2383732932174114,-3.059918096020172,0.039747687805347764,-0.03342652937236945
demucs,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,other,0.42314629184724845,-9.617084820485095,-0.059812637331288,-0.3394665288941514
demucs,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,vocals,8.751743337122821,8.20307721217409,-2.6827823380217843,-2.909465738110409
demucs,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,drums,8.303575452893503,7.618246280212167,-0.028177780565412647,-0.030050011161689483
demucs,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,bass,-1.2104633359536698,-3.02194669337968,0.06765764506908933,0.0045448732681223625
demucs,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,other,0.34277559349419096,-10.112579989923711,-0.1401833356843455,-0.8349616983327675
demucs,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,vocals,8.590266609985305,8.014347682299878,-2.844259065159301,-3.0981952679846216
demucs,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,drums,8.419506588857118,7.753943312546489,0.08775335539820261,0.10564702117263192
demucs,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,bass,-1.219318078820704,-2.949498575195484,0.058802902202055085,0.07699299145231864
demucs,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,other,0.3294764956235132,-10.287260828715139,-0.15348243355502322,-1.0096425371241953
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l1,bitcrush,1,vocals,5.870152908091164,4.570292030814113,-0.5677099423178413,-0.7528773562952784
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l1,bitcrush,1,drums,4.091689741934338,2.002482097955961,-0.1468241655296474,-0.21467236437729564
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l1,bitcrush,1,bass,5.382636367044219,3.9129264943953617,-0.011339047065309416,-0.016510194834697955
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l1,bitcrush,1,other,2.1016347969217115,-0.6065619840778883,-0.06693460367910742,-0.08119941370216666
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l2,bitcrush,2,vocals,5.86890484392859,4.568600635881842,-0.5689580064804156,-0.7545687512275494
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l2,bitcrush,2,drums,4.091132690909992,2.001438623395729,-0.14738121655399272,-0.21571583893752777
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l2,bitcrush,2,bass,5.381788208943465,3.9116645650997435,-0.012187205166062753,-0.017772124130316147
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l2,bitcrush,2,other,2.100374897259523,-0.6073596161144553,-0.06819450334129584,-0.08199704573873368
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l3,bitcrush,3,vocals,5.865655594838356,4.564104175270067,-0.5722072555706497,-0.7590652118393244
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l3,bitcrush,3,drums,4.0884455535605,1.9977081586879137,-0.15006835390348527,-0.21944630364534312
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l3,bitcrush,3,bass,5.382867130912538,3.913421401278222,-0.01110828319699042,-0.01601528795183782
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l3,bitcrush,3,other,2.1011119533627745,-0.6041339037818915,-0.06745744723804448,-0.07877133340616982
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l4,bitcrush,4,vocals,5.776228965877421,4.442408703157355,-0.6616338845315841,-0.8807606839520368
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l4,bitcrush,4,drums,4.039444681869952,1.9235264977613042,-0.19906922559403295,-0.2936279645719526
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l4,bitcrush,4,bass,5.374238258210697,3.899947556910877,-0.01973715589883085,-0.029489132319182598
