model,stem,bitcrush,compression,delay,reverb
demucs,bass,-0.02,-0.06,-0.04,-0.29
demucs,drums,-0.14,-0.11,-0.15,-0.06
demucs,other,-0.09,-0.06,-0.46,-0.65
demucs,vocals,-0.38,-0.35,-1.39,-2.07
spleeter,bass,-0.0,-0.02,-0.02,-0.21
spleeter,drums,-0.04,-0.1,-0.07,-0.06
spleeter,other,-0.06,-0.07,-0.45,-0.43
spleeter,vocals,-0.52,-0.49,-1.05,-1.4
