model,song,pair,component,SI_SDR,SI_SAR_like,RMSE
demucs,PR - Oh No,accompaniment,non_vocal,21.53064526287363,21.561067963375375,0.03947065669830995
demucs,Punkdisco - Oral Hygiene,accompaniment,non_vocal,19.242322741371872,19.293724669006835,0.012178493601286249
demucs,Raft Monk - Tiring,accompaniment,non_vocal,12.840812666546519,13.06092824601983,0.027725681101678803
demucs,Sambasevam Shanmugam - Kaathaadi,accompaniment,non_vocal,17.381202936915248,17.459857756849985,0.011574538479165012
demucs,Secretariat - Borderline,accompaniment,non_vocal,13.761767919823724,13.940676585766685,0.020377708266312616
demucs,Secretariat - Over The Top,accompaniment,non_vocal,18.497557756873007,18.558508281093705,0.01511793014746518
demucs,Side Effects Project - Sing With Me,accompaniment,non_vocal,15.139622652788704,15.270617983709947,0.01414937404139728
demucs,Signe Jakobsen - What Have You Done To Me,accompaniment,non_vocal,13.127656372618224,13.334032289939996,0.01844894782389003
demucs,Skelpolu - Resurrection,accompaniment,non_vocal,17.253184869413644,17.334170921644954,0.020521565875594165
demucs,Speak Softly - Broken Man,accompaniment,non_vocal,16.259174670114366,16.360747673887055,0.017963730299251298
demucs,Speak Softly - Like Horses,accompaniment,non_vocal,12.11123685958573,12.370437538844985,0.026787931461406993
demucs,The Doppler Shift - Atrophy,accompaniment,non_vocal,15.388789293916574,15.51258368260192,0.0179786721579836
demucs,The Easton Ellises (Baumi) - SDRNR,accompaniment,non_vocal,11.015774119025782,11.346571490947202,0.02855341226499119
demucs,The Easton Ellises - Falcon 69,accompaniment,non_vocal,10.913798448180113,11.252156660757853,0.034834657216681573
demucs,The Long Wait - Dark Horses,accompaniment,non_vocal,15.584104978706456,15.702528826017828,0.012571186918495627
demucs,The Mountaineering Club - Mallory,accompaniment,non_vocal,20.381108301523625,20.420708010225006,0.008662981798040065
demucs,The Sunshine Garcia Band - For I Am The Moon,accompaniment,non_vocal,14.487113724125011,14.63897867868649,0.01814686768179212
demucs,Timboz - Pony,accompaniment,non_vocal,14.268931406572776,14.428478679419229,0.018163700919329954
demucs,Tom McKenzie - Directions,accompaniment,non_vocal,19.204445526556416,19.25629504218468,0.010662950813463726
demucs,Triviul feat. The Fiend - Widow,accompaniment,non_vocal,11.528673620136443,11.82384536024138,0.01966596812687958
demucs,We Fell From The Sky - Not You,accompaniment,non_vocal,16.68443361815131,16.776631910934423,0.014755618747986692
demucs,Zeno - Signs,accompaniment,non_vocal,12.814042098634285,13.035484576381736,0.023343169482616125
demucs,AM Contra - Heart Peripheral,accompaniment,vocals,11.867016155161059,12.140747324263428,0.013859538299795754
