effect,level,source,SI_SDR,SI_SAR_like,RMSE
bitcrush,1,bass,21.78909704885962,21.8177810805904,0.0038772778577768592
bitcrush,1,drums,19.261478177263648,19.312655258218854,0.005465252449613877
bitcrush,1,other,16.73367335534789,16.824843310953142,0.007087119635270237
bitcrush,1,vocals,7.681144891021708,8.365173098725906,0.015393052469365391
bitcrush,2,bass,21.601930349736122,21.631890057562103,0.0036127216288126705
bitcrush,2,drums,19.207796047727545,19.25964789639033,0.005614791848884685
bitcrush,2,other,16.75779890873079,16.848487216015627,0.007008970337427254
bitcrush,2,vocals,7.684519163329971,8.368095638947558,0.015439363585430691
bitcrush,4,bass,20.634482144904585,20.67189159864157,0.0042973098167180205
bitcrush,4,drums,18.464856401238663,18.526264363064506,0.006361108348451631
bitcrush,4,other,15.354803530815875,15.47955927011667,0.007813889095865518
bitcrush,4,vocals,7.618016728962303,8.311250885351404,0.015593923548203685
compression,1,bass,22.05001831854159,22.077022575889345,0.0035221136738042697
compression,1,drums,22.344734409834878,22.36997512538605,0.0037176863023177945
compression,1,other,18.747724230203787,18.80528635112175,0.0049427106736500154
compression,1,vocals,17.080387862426115,17.164629935596516,0.011501185623562315
compression,2,bass,21.044220239245476,21.0782356547391,0.00400569095850804
compression,2,drums,21.304254620023713,21.336299480825893,0.004480243173281949
compression,2,other,15.037706719601076,15.171772284796514,0.00768457103319951
compression,2,vocals,8.396512609936751,8.983279070464949,0.026513585098142764
compression,4,bass,20.839956527352882,20.875604242193567,0.00453391219619479
compression,4,drums,19.848758795057243,19.893497300416662,0.005521390257485651
compression,4,other,13.146622513863635,13.352120084932846,0.009516352864193856
compression,4,vocals,4.029950585979974,5.476905970220876,0.03299198760730539
delay,1,bass,21.256182661189023,21.288582992366596,0.004033925457421251
delay,1,drums,20.992235794102932,21.026663645010245,0.004619692492767174
delay,1,other,14.96300046325033,15.099353066774615,0.007899564527555315
delay,1,vocals,8.560682898651852,9.127041002193625,0.01741656274141697
delay,2,bass,19.617908326823404,19.665078126171522,0.004574392893653749
delay,2,drums,19.774800429222452,19.820313263852626,0.00579853547780356
delay,2,other,11.85626472058976,12.13066005250452,0.011203244768123694
delay,2,vocals,5.655927112728012,6.70045271238334,0.024592926642450108
delay,4,bass,18.570394400708132,18.630348351389003,0.004872703124734459
delay,4,drums,17.55228778037604,17.627930818737426,0.007248185922131653
delay,4,other,7.996140691781309,8.635591859072345,0.016243376850041725
delay,4,vocals,2.676965368800005,4.551857676317591,0.03378898973633337
reverb,1,bass,20.245417278457303,20.286269864678054,0.004385640491668605
reverb,1,drums,21.383869589748777,21.415349785650967,0.004453560595033634
reverb,1,other,15.71012162632637,15.82520677163317,0.007020985155943407
reverb,1,vocals,12.326399810242325,12.57342250394066,0.01215178795344406
reverb,2,bass,16.52158273063126,16.617285349044707,0.008086398163487326
reverb,2,drums,18.93378799468222,18.988950568174744,0.006156685503746467
reverb,2,other,10.10642400488757,10.51078369492755,0.015061333680970675
reverb,2,vocals,0.20939489657245805,3.1162610890209557,0.03402337783921408
reverb,4,bass,9.726656476627968,10.1661559762231,0.01862488213977797
reverb,4,drums,13.80510386494085,13.98227191618803,0.01119833686277866
reverb,4,other,1.931158250111755,4.082346190770044,0.03451175265728902
reverb,4,vocals,-20.56747091768959,0.03794361086411877,0.1217898149862893
