Model,Combination,Source,SI_SDR,SI_SAR_like,RMSE
Spleeter_experiment1,accompaniment_vocals,accompaniment,13.27448338196481,13.47422098740755,0.021528380821858675
Spleeter_experiment1,accompaniment_vocals,vocals,6.501391843983669,7.378509662538362,0.021237386374925196
Spleeter_experiment1,bass_vocals,bass,14.76037333460909,14.903173901604621,0.008238992579524766
Spleeter_experiment1,bass_vocals,vocals,15.042412900572721,15.17634089860125,0.008676262151066365
Spleeter_experiment1,drums_vocals,drums,12.647131146205986,12.87702473623309,0.01278518763760721
Spleeter_experiment1,drums_vocals,vocals,11.775412706621424,12.05488211069752,0.01154383382930083
Spleeter_experiment1,other_vocals,other,9.130413699903439,9.631116898992765,0.01779245716789278
Spleeter_experiment1,other_vocals,vocals,7.859368985261777,8.517848394253893,0.018041942888079265
demucs_experiment1,accompaniment_vocals,accompaniment,15.480977824088551,15.602227909583323,0.016726533816661657
demucs_experiment1,accompaniment_vocals,vocals,8.750089624177553,9.294366670099508,0.01575561352487017
demucs_experiment1,bass_vocals,bass,20.18812821869835,20.229551498236752,0.004514196089930773
demucs_experiment1,bass_vocals,vocals,20.944817577764034,20.979621632272845,0.004589032269862884
demucs_experiment1,drums_vocals,drums,16.978657921935373,17.064877108502316,0.00797009491778829
demucs_experiment1,drums_vocals,vocals,15.57054043554214,15.68932987147093,0.007618680970829987
demucs_experiment1,other_vocals,other,11.007588108287123,11.338994487524456,0.014129262937527975
demucs_experiment1,other_vocals,vocals,9.83680358895836,10.267262612136062,0.013844321366118226
